Date,Open,High,Low,Close,Adj Close,Volume
19-05-2020,1510,1516.949951,1482.949951,1503.949951,1468.140381,3164137
20-05-2020,1503.949951,1514,1492.650024,1500.050049,1464.333374,2057402
21-05-2020,1503,1583.5,1501,1574.300049,1536.815552,3845743
22-05-2020,1568.800049,1625,1555.400024,1617.900024,1579.377319,5203736
26-05-2020,1625,1656.949951,1620,1629.849976,1591.042725,3552636
27-05-2020,1631,1636.849976,1595.949951,1619.449951,1580.890259,2260057
28-05-2020,1622,1656.949951,1615.25,1643.599976,1604.46521,3138915
29-05-2020,1639,1699,1633.099976,1683.099976,1643.02478,3532977
01-06-2020,1706.5,1711.900024,1681.5,1693.25,1652.933105,2529255
02-06-2020,1693.25,1733,1680,1709.300049,1668.600952,2440552
03-06-2020,1724,1744,1705.849976,1716.550049,1675.678589,3088817
04-06-2020,1716.449951,1719.599976,1627,1633.75,1594.849854,4388930
05-06-2020,1650,1659.349976,1621,1638.550049,1599.535645,2884206
08-06-2020,1657,1666,1629,1634.25,1595.337891,2046505
09-06-2020,1640,1695,1636.75,1642.050049,1602.952271,3671930
10-06-2020,1648,1675.099976,1627.900024,1635.949951,1596.997314,2069280
11-06-2020,1635.949951,1646,1607,1610.599976,1572.251221,1888420
12-06-2020,1580,1642.949951,1577.5,1637.349976,1598.364014,2391556
15-06-2020,1629,1650.650024,1602.099976,1618.199951,1579.670044,1681166
16-06-2020,1639,1640.25,1607.650024,1621.699951,1583.086792,1497691
17-06-2020,1607.550049,1622.650024,1590.400024,1595.400024,1557.413086,1812788
18-06-2020,1595.400024,1612.199951,1587.300049,1597.800049,1559.755737,1417273
19-06-2020,1597.800049,1630,1591.050049,1622.5,1583.867676,2714342
22-06-2020,1633,1673.5,1624,1652.150024,1612.811768,2034739
23-06-2020,1659.849976,1689,1641,1683.900024,1643.805786,2334863
24-06-2020,1684,1813.75,1684,1747.25,1705.647339,11545923
25-06-2020,1740,1747,1683.150024,1689,1648.784302,4054785
26-06-2020,1710,1710.349976,1670.699951,1686.75,1646.587769,2129986
29-06-2020,1687,1708.449951,1674.050049,1691.949951,1651.66394,2753482
30-06-2020,1708.900024,1718,1681.650024,1687.449951,1647.27124,1960731
01-07-2020,1698,1698,1680.050049,1688,1647.808105,1661296
02-07-2020,1700,1704,1660.099976,1686.449951,1646.2948,2038399
03-07-2020,1695.400024,1720,1690,1695.650024,1655.276001,1988941
06-07-2020,1708.949951,1712,1692.150024,1708.849976,1668.161621,1236670
07-07-2020,1708.949951,1749.900024,1705.849976,1745.75,1704.182983,2983260
08-07-2020,1750,1761.800049,1680.050049,1686.25,1646.099854,2725937
09-07-2020,1694,1722,1692.099976,1717.25,1676.361816,1904661
10-07-2020,1707.949951,1711,1695.199951,1703.5,1662.938965,1156043
13-07-2020,1708,1732.900024,1700,1705.650024,1665.037842,1289791
14-07-2020,1705.650024,1718,1682.099976,1688.400024,1648.19873,1347120
15-07-2020,1700,1713.599976,1663.300049,1671.650024,1631.847412,1611341
16-07-2020,1679.800049,1697.099976,1645.099976,1693.199951,1652.884399,1442725
17-07-2020,1695,1742.5,1689.75,1717.900024,1676.996216,2308792
20-07-2020,1727,1757.349976,1720.25,1751.599976,1709.893677,1848600
21-07-2020,1761,1771.75,1719,1724.25,1683.194824,2088461
22-07-2020,1724.25,1736.400024,1691,1695.75,1655.373535,1300409
23-07-2020,1690,1740,1687,1727.800049,1688.153931,2375218
24-07-2020,1724,1727,1682,1712.050049,1672.765259,3971563
27-07-2020,1717.199951,1788,1717.199951,1778.150024,1737.348511,6470525
28-07-2020,1779,1792.650024,1751.050049,1759.650024,1719.272949,2534092
29-07-2020,1770,1779.900024,1730,1740.150024,1700.220459,1530981
30-07-2020,1752,1778,1728.099976,1743.349976,1703.346924,2113975
31-07-2020,1754,1770.900024,1710.400024,1715.5,1676.135986,1678643
03-08-2020,1729,1735,1697.5,1705.5,1666.365479,1437425
04-08-2020,1719,1735,1708.550049,1713.949951,1674.621582,1815396
05-08-2020,1718,1741.949951,1712.5,1716.300049,1676.917847,1416803
06-08-2020,1732.050049,1752.099976,1720.099976,1727.550049,1687.909668,1914507
07-08-2020,1727.550049,1816.900024,1725.699951,1806.25,1764.803589,5166075
10-08-2020,1810,1824.300049,1777,1782.349976,1741.452026,1892614
11-08-2020,1800,1837.800049,1780,1789.550049,1748.486816,3039662
12-08-2020,1789.949951,1806,1772,1797.25,1756.010254,1679096
13-08-2020,1806.400024,1815,1788,1802.550049,1761.188599,1192375
14-08-2020,1818.699951,1830,1795.5,1802.550049,1761.188599,1868376
17-08-2020,1820,1842.5,1801.849976,1836.699951,1794.554932,1634180
18-08-2020,1831,1884,1831,1874.099976,1831.096802,2586298
19-08-2020,1890,1902.400024,1872.550049,1885.699951,1842.43042,1947114
20-08-2020,1867.949951,1880,1857.050049,1874.900024,1831.87854,1538879
21-08-2020,1887.900024,1973.25,1880.75,1958,1913.071655,5688228
24-08-2020,1958,1996,1940,1962.150024,1917.126465,3996329
25-08-2020,1964.25,2016.849976,1964,2000.599976,1954.694092,3544399
26-08-2020,2000.949951,2009,1955.5,1971.400024,1926.164063,2245810
27-08-2020,1980.900024,2009,1970.050049,1982.5,1937.009521,3116305
28-08-2020,1994,1997,1953.300049,1958.099976,1913.169312,1842536
31-08-2020,1977,1983.900024,1881.25,1899.099976,1855.523071,2738522
01-09-2020,1925,1988,1907.75,1979.300049,1933.882935,3068285
02-09-2020,1977.949951,1997,1925,1943.949951,1899.344116,2569603
03-09-2020,1950.199951,1987.849976,1945,1978,1932.612671,1931667
04-09-2020,1958,1993.699951,1951,1956.349976,1911.459473,1930422
07-09-2020,1965,2003.650024,1948.099976,1982.099976,1936.618652,2855392
08-09-2020,1987.5,2001.949951,1952,1960.349976,1915.367676,2401034
09-09-2020,1960.349976,1993.900024,1958,1979.050049,1933.638672,2776804
10-09-2020,1985.050049,2069.699951,1981,2056.550049,2009.360474,5081252
11-09-2020,2063,2069.949951,2022,2035.949951,1989.233032,2599475
14-09-2020,2050,2054,2005,2031.199951,1984.591919,2142458
15-09-2020,2045,2049.550049,2009.050049,2017.550049,1971.255371,1997383
16-09-2020,2027,2027,1994.150024,2012.099976,1965.930176,1717740
17-09-2020,2000,2045,2000,2007.949951,1961.875488,2416918
18-09-2020,2026.300049,2044.349976,2015,2028.400024,1981.856201,3021436
21-09-2020,2036.400024,2057,1962.300049,1972.550049,1927.287598,2518361
22-09-2020,1990.199951,1995.699951,1926.349976,1937.5,1893.041992,1974860
23-09-2020,1940,1990,1928.300049,1946.550049,1901.884521,2732912
24-09-2020,1941.550049,1945,1907.75,1918.349976,1874.331543,1906183
25-09-2020,1925.25,1955,1908,1925.599976,1881.415039,1939316
28-09-2020,1938,1958,1930,1945.599976,1900.956177,1137313
29-09-2020,1960,1989.949951,1954,1959.949951,1914.976807,1965383
30-09-2020,1966.099976,2004,1958.150024,1986.400024,1940.819824,2518982
01-10-2020,2007,2049.350098,1992.050049,2040.449951,1993.629639,2014003
05-10-2020,2040.449951,2042.699951,2011,2028,1981.465332,1554873
06-10-2020,2050,2097.899902,2045.099976,2090,2042.042725,3152378
07-10-2020,2080,2118.800049,2073.949951,2105,2056.698486,2429595
08-10-2020,2104.5,2107.949951,2072.050049,2088.649902,2040.723389,1427493
09-10-2020,2094,2108.899902,2045.150024,2050.600098,2003.546997,1636939
12-10-2020,2067.899902,2086.449951,2041.25,2077.850098,2030.171631,2182836
13-10-2020,2077,2114,2054.050049,2064.649902,2017.274536,2619233
14-10-2020,2070,2085.5,2055,2071.350098,2023.820679,1530471
15-10-2020,2070,2124,2066.050049,2090.449951,2042.482178,4001883
